"","fixed_acidity","volatile_acidity","citric_acid","residual_sugar","chlorides","free_sulfur_dioxide","total_sulfur_dioxide","density","pH","sulphates","alcohol","score","citric.acid"
"1088",6,0.24,0.32,6.3,0.03,34,129,0.9946,3.52,0.41,10.4,5.69,0.32
"1089",6.1,0.45,0.27,0.8,0.039,13,82,0.9927,3.23,0.32,9.5,5.02,0.27
"1090",7.4,0.23,0.43,1.4,0.044,22,113,0.9938,3.22,0.62,10.6,6.11,0.43
"1091",7.2,0.2,0.38,1,0.037,21,74,0.9918,3.21,0.37,11,5.31,0.38
"1092",7.5,0.14,0.34,1.3,0.055,50,153,0.9945,3.29,0.8,9.6,6.85,0.34
"1093",7.7,0.25,0.43,4.5,0.062,20,115,0.9966,3.38,0.5,9.9,6.53,0.43
"1094",8.2,0.61,0.45,5.4,0.03,15,118,0.9954,3.14,0.34,9.6,5.44,0.45
"1095",7.6,0.21,0.44,1.9,0.036,10,119,0.9913,3.01,0.7,12.8,7,0.44
"1096",7.4,0.22,0.33,2,0.045,31,101,0.9931,3.42,0.55,11.4,5.22,0.33
"1097",7.2,0.26,0.26,12.7,0.036,49,214,0.9986,3.41,0.5,10,6.86,0.26
"1098",6.4,0.25,0.41,8.6,0.042,57,173,0.9965,3,0.44,9.1,5.71,0.41
"1099",6.3,0.32,0.35,11.1,0.039,29,198,0.9984,3.36,0.5,9.4,7.25,0.35
"1100",6.8,0.25,0.29,2,0.042,19,189,0.9952,3.46,0.54,10.2,6.38,0.29
"1101",7.2,0.2,0.25,4.5,0.044,31,109,0.9949,3.23,0.36,9.4,5.77,0.25
"1102",8.2,0.61,0.45,5.4,0.03,15,118,0.9954,3.14,0.34,9.6,5.8,0.45
"1103",7.5,0.42,0.45,9.1,0.029,20,125,0.996,3.12,0.36,10.1,6.13,0.45
"1104",7.4,0.22,0.33,2,0.045,31,101,0.9931,3.42,0.55,11.4,5.63,0.33
"1105",6.4,0.26,0.3,2.2,0.025,33,134,0.992,3.21,0.47,10.6,6.66,0.3
"1106",7.9,0.46,0.32,4.1,0.033,40,138,0.9912,3.18,0.44,12.8,7.56,0.32
"1107",6.5,0.41,0.64,11.8,0.065,65,225,0.9978,3.12,0.51,8.9,5.22,0.64
"1108",7.5,0.32,0.37,1.2,0.048,22,184,0.9938,3.09,0.43,9.3,5.71,0.37
"1109",6.6,0.21,0.38,2.2,0.026,40,104,0.9914,3.25,0.4,11.1,8.03,0.38
"1110",7.1,0.21,0.3,1.4,0.037,45,143,0.9932,3.13,0.33,9.9,6.48,0.3
"1111",7.6,0.26,0.47,1.6,0.068,5,55,0.9944,3.1,0.45,9.6,5.66,0.47
"1112",7.6,0.21,0.44,1.9,0.036,10,119,0.9913,3.01,0.7,12.8,6.79,0.44
"1113",6.9,0.25,0.26,5.2,0.024,36,135,0.9948,3.16,0.72,10.7,7.38,0.26
"1114",7.3,0.22,0.4,14.75,0.042,44.5,129.5,0.9998,3.36,0.41,9.1,7.32,0.4
"1115",6.2,0.37,0.22,8.3,0.025,36,216,0.9964,3.33,0.6,9.6,6.18,0.22
"1116",7.9,0.22,0.45,14.2,0.038,53,141,0.9992,3.03,0.46,9.2,6.22,0.45
"1117",6.9,0.25,0.26,5.2,0.024,36,135,0.9948,3.16,0.72,10.7,7.37,0.26
"1118",7.3,0.22,0.4,14.75,0.042,44.5,129.5,0.9998,3.36,0.41,9.1,7.36,0.4
"1119",7.4,0.25,0.37,6.9,0.02,14,93,0.9939,3,0.48,10.7,7.13,0.37
"1120",6.8,0.18,0.37,1.5,0.027,37,93,0.992,3.3,0.45,10.8,6.88,0.37
"1121",7,0.17,0.37,1.5,0.028,26,75,0.9922,3.3,0.46,10.8,7.64,0.37
"1122",6.4,0.3,0.38,7.8,0.046,35,192,0.9955,3.1,0.37,9,5.04,0.38
"1123",5,0.33,0.16,1.5,0.049,10,97,0.9917,3.48,0.44,10.7,6.43,0.16
"1124",5,0.33,0.16,1.5,0.049,10,97,0.9917,3.48,0.44,10.7,6.13,0.16
"1125",8.9,0.33,0.32,1.5,0.047,11,200,0.9954,3.19,0.46,9.4,5.17,0.32
"1126",6.4,0.3,0.38,7.8,0.046,35,192,0.9955,3.1,0.37,9,5.38,0.38
"1127",6.3,0.21,0.4,1.7,0.031,48,134,0.9917,3.42,0.49,11.5,6.4,0.4
"1128",8,0.23,0.46,1.5,0.03,30,125,0.9907,3.23,0.47,12.5,6.96,0.46
"1129",7.3,0.27,0.39,6.7,0.064,28,188,0.9958,3.29,0.3,9.7,5.64,0.39
"1130",7.6,0.32,0.36,1.6,0.04,32,155,0.993,3.23,0.52,11.3,6.44,0.36
"1131",5,0.33,0.16,1.5,0.049,10,97,0.9917,3.48,0.44,10.7,6.02,0.16
"1132",8,0.28,0.42,7.1,0.045,41,169,0.9959,3.17,0.43,10.6,5.41,0.42
"1133",8.2,0.37,0.36,1,0.034,17,93,0.9906,3.04,0.32,11.7,8.06,0.36
"1134",7.2,0.26,0.44,7.1,0.027,25,126,0.993,3.02,0.34,11.1,8.39,0.44
"1135",8.2,0.37,0.36,1,0.034,17,93,0.9906,3.04,0.32,11.7,8.33,0.36
"1136",6.4,0.23,0.33,1.15,0.044,15.5,217.5,0.992,3.33,0.44,11,6.29,0.33
"1137",5.9,0.4,0.32,6,0.034,50,127,0.992,3.51,0.58,12.5,7.87,0.32
"1138",7.6,0.28,0.39,1.2,0.038,21,115,0.994,3.16,0.67,10,6.27,0.39
"1139",8,0.28,0.42,7.1,0.045,41,169,0.9959,3.17,0.43,10.6,5.71,0.42
"1140",7.2,0.23,0.39,2.3,0.033,29,102,0.9908,3.26,0.54,12.3,7.53,0.39
"1141",6.8,0.32,0.37,3.4,0.023,19,87,0.9902,3.14,0.53,12.7,6.31,0.37
"1142",7.2,0.23,0.39,2.3,0.033,29,102,0.9908,3.26,0.54,12.3,7.17,0.39
"1143",6.9,0.18,0.38,6.5,0.039,20,110,0.9943,3.1,0.42,10.5,5.46,0.38
"1144",9.4,0.26,0.53,1.2,0.047,25,109,0.9921,3.23,0.28,12.5,6.78,0.53
"1145",8.3,0.33,0.42,1.15,0.033,18,96,0.9911,3.2,0.32,12.4,3.74,0.42
"1146",7.3,0.29,0.3,13,0.043,46,238,0.9986,3.06,0.41,8.7,6.93,0.3
"1147",7.9,0.41,0.37,4.5,0.03,40,114,0.992,3.17,0.54,12.4,7.94,0.37
"1148",7.9,0.44,0.37,5.85,0.033,27,93,0.992,3.16,0.54,12.6,7.22,0.37
"1149",7.7,0.39,0.3,5.2,0.037,29,131,0.9943,3.38,0.44,11,6.46,0.3
"1150",7.7,0.26,0.31,1.3,0.043,47,155,0.9937,3.42,0.5,10.1,6.31,0.31
"1151",7.8,0.32,0.31,1.7,0.036,46,195,0.993,3.03,0.48,10.5,5,0.31
"1152",6.8,0.32,0.37,3.4,0.023,19,87,0.9902,3.14,0.53,12.7,6.71,0.37
"1153",7.3,0.24,0.39,3.6,0.024,35,116,0.9928,3.17,0.51,10.9,5.4,0.39
"1154",7.1,0.44,0.37,2.7,0.041,35,128,0.9896,3.07,0.43,13.5,7.85,0.37
"1155",10.3,0.25,0.48,2.2,0.042,28,164,0.998,3.19,0.59,9.7,5.59,0.48
"1156",7.9,0.14,0.28,1.8,0.041,44,178,0.9954,3.45,0.43,9.2,6.94,0.28
"1157",7.4,0.18,0.42,2.1,0.036,33,187,0.9938,3.4,0.41,10.6,7.23,0.42
"1158",7.1,0.44,0.37,2.7,0.041,35,128,0.9896,3.07,0.43,13.5,7.92,0.37
"1159",6.4,0.26,0.22,5.1,0.037,23,131,0.9944,3.29,0.32,10.1,5.74,0.22
"1160",8,0.2,0.4,5.2,0.055,41,167,0.9953,3.18,0.4,10.6,7.94,0.4
"1161",7.2,0.21,0.34,1.1,0.046,25,80,0.992,3.25,0.4,11.3,6.09,0.34
"1162",7.2,0.18,0.31,1.1,0.045,20,73,0.9925,3.32,0.4,10.8,7,0.31
"1163",8.4,0.57,0.44,10.7,0.051,46,195,0.9981,3.15,0.51,10.4,5.12,0.44
"1164",5.3,0.26,0.23,5.15,0.034,48,160,0.9952,3.82,0.51,10.5,7.58,0.23
"1165",5.7,0.245,0.33,1.1,0.049,28,150,0.9927,3.13,0.42,9.3,5.13,0.33
"1166",5.6,0.245,0.32,1.1,0.047,24,152,0.9927,3.12,0.42,9.3,6.55,0.32
"1167",7.3,0.25,0.41,1.8,0.037,52,165,0.9911,3.29,0.39,12.2,7.22,0.41
"1168",7,0.16,0.73,1,0.138,58,150,0.9936,3.08,0.3,9.2,5.54,0.73
"1169",6.4,0.22,0.34,1.8,0.057,29,104,0.9959,3.81,0.57,10.3,6.98,0.34
"1170",7.3,0.18,0.65,1.4,0.046,28,157,0.9946,3.33,0.62,9.4,6.56,0.65
"1171",6.4,0.17,0.27,6.7,0.036,88,223,0.9948,3.28,0.35,10.2,6.63,0.27
"1172",6.9,0.29,0.16,6.8,0.034,65,212,0.9955,3.08,0.39,9,6.87,0.16
"1173",6.2,0.21,0.38,6.8,0.036,64,245,0.9951,3.06,0.36,9.3,6,0.38
"1174",6.4,0.23,0.3,7.1,0.037,63,236,0.9952,3.06,0.34,9.2,6.09,0.3
"1175",7.3,0.19,0.68,1.5,0.05,31,156,0.9946,3.32,0.64,9.4,6.23,0.68
"1176",7.3,0.18,0.65,1.4,0.046,28,157,0.9946,3.33,0.62,9.4,6.85,0.65
"1177",7.2,0.14,0.35,1.2,0.036,15,73,0.9938,3.46,0.39,9.9,5.28,0.35
"1178",6.9,0.31,0.34,7.4,0.059,36,174,0.9963,3.46,0.62,11.1,7.84,0.34
"1179",8,0.22,0.42,14.6,0.044,45,163,1.0003,3.21,0.69,8.6,7.03,0.42
"1180",7.6,0.31,0.29,10.5,0.04,21,145,0.9966,3.04,0.35,9.4,5.9,0.29
"1181",8.4,0.35,0.56,13.8,0.048,55,190,0.9993,3.07,0.58,9.4,6.53,0.56
"1182",8,0.22,0.42,14.6,0.044,45,163,1.0003,3.21,0.69,8.6,7.34,0.42
"1183",8.1,0.5,0.47,1.1,0.037,23,126,0.9938,3.21,0.42,10.9,5.36,0.47
"1184",7,0.39,0.31,5.3,0.169,32,162,0.9965,3.2,0.48,9.4,5.93,0.31
"1185",8.1,0.5,0.47,1.1,0.037,23,126,0.9938,3.21,0.42,10.9,5.96,0.47
"1186",8.4,0.35,0.56,13.8,0.048,55,190,0.9993,3.07,0.58,9.4,6.52,0.56
"1187",6.2,0.22,0.27,1.5,0.064,20,132,0.9938,3.22,0.46,9.2,6.9,0.27
"1188",8,0.22,0.42,14.6,0.044,45,163,1.0003,3.21,0.69,8.6,7.96,0.42
"1189",7.6,0.31,0.29,10.5,0.04,21,145,0.9966,3.04,0.35,9.4,5.57,0.29
"1190",7,0.24,0.36,4.9,0.083,10,133,0.9942,3.33,0.37,10.8,6.84,0.36
"1191",6.6,0.27,0.3,1.9,0.025,14,153,0.9928,3.29,0.62,10.5,6.33,0.3
"1192",7.8,0.16,0.41,1.7,0.026,29,140,0.991,3.02,0.78,12.5,6.86,0.41
"1193",7.4,0.31,0.74,10.7,0.039,51,147,0.9977,3.02,0.43,8.7,5.74,0.74
"1194",8,0.45,0.36,8.8,0.026,50,151,0.9927,3.07,0.25,12.7,8.41,0.36
"1195",7.8,0.16,0.41,1.7,0.026,29,140,0.991,3.02,0.78,12.5,6.09,0.41
"1196",6.6,0.16,0.29,1.8,0.05,40,147,0.9912,3.06,0.44,11.4,7.21,0.29
"1197",8.3,0.21,0.4,1.6,0.032,35,110,0.9907,3.02,0.6,12.9,7.3,0.4
"1198",7.2,0.32,0.33,1.4,0.029,29,109,0.9902,3.15,0.51,12.8,7,0.33
"1199",6.6,0.16,0.3,1.6,0.034,15,78,0.992,3.38,0.44,11.2,6.04,0.3
"1200",8.4,0.16,0.33,1.5,0.033,16,98,0.994,3.14,0.42,9.7,6.68,0.33
"1201",7.5,0.23,0.32,9.2,0.038,54,191,0.9966,3.04,0.56,9.7,6.05,0.32
"1202",6.2,0.17,0.3,1.1,0.037,14,79,0.993,3.5,0.54,10.3,6.51,0.3
"1203",6.9,0.39,0.22,4.3,0.03,10,102,0.993,3,0.87,11.6,4.55,0.22
"1204",6.9,0.41,0.22,4.2,0.031,10,102,0.993,3,0.86,11.6,4.23,0.22
"1205",7.5,0.23,0.32,9.2,0.038,54,191,0.9966,3.04,0.56,9.7,6.24,0.32
"1206",7.5,0.38,0.33,5,0.045,30,131,0.9942,3.32,0.44,10.9,6.35,0.33
"1207",7.3,0.42,0.38,6.8,0.045,29,122,0.9925,3.19,0.37,12.6,7.65,0.38
"1208",7.3,0.34,0.39,5.2,0.04,45,163,0.9925,3.3,0.47,12.4,6.54,0.39
"1209",6.9,0.2,0.4,7.7,0.032,51,176,0.9939,3.22,0.27,11.4,5.08,0.4
"1210",7.4,0.19,0.42,6.4,0.067,39,212,0.9958,3.3,0.33,9.6,6.62,0.42
"1211",8.2,0.2,0.36,8.1,0.035,60,163,0.9952,3.05,0.3,10.3,6.77,0.36
"1212",7.9,0.14,0.45,1.8,0.05,17,114,0.9948,3.33,0.49,10.7,7.58,0.45
"1213",6.8,0.24,0.4,1.8,0.047,34,105,0.99,3.13,0.49,12.8,8.4,0.4
"1214",9.2,0.15,0.68,1.6,0.046,22,130,0.9948,3.02,0.45,10.4,6.46,0.68
"1215",9.4,0.17,0.55,1.6,0.049,14,94,0.9949,3.02,0.61,10.3,6.4,0.55
"1216",5.2,0.365,0.08,13.5,0.041,37,142,0.997,3.46,0.39,9.9,6.01,0.08
"1217",6.3,0.23,0.22,3.75,0.039,37,116,0.9927,3.23,0.5,10.7,6.49,0.22
"1218",9.2,0.32,0.42,1.3,0.046,14,186,0.9949,3.08,0.48,9.6,5.03,0.42
"1219",6.4,0.31,0.4,6.2,0.04,46,169,0.9953,3.15,0.46,9.3,6.79,0.4
"1220",8.1,0.2,0.36,9.7,0.044,63,162,0.997,3.1,0.46,10,6.61,0.36
"1221",7.9,0.255,0.26,2,0.026,40,190,0.9932,3.04,0.39,11.2,6.42,0.26
"1222",7,0.15,0.34,1.4,0.039,21,177,0.9927,3.32,0.62,10.8,5.73,0.34
"1223",6.4,0.15,0.31,1.1,0.044,25,96,0.9932,3.54,0.51,10.3,6.02,0.31
"1224",6.4,0.25,0.53,6.6,0.038,59,234,0.9955,3.03,0.42,8.8,5.51,0.53
"1225",7.6,0.19,0.42,1.5,0.044,6,114,0.9914,3.04,0.74,12.8,6.28,0.42
"1226",7.3,0.43,0.37,4.6,0.028,17,114,0.991,3.23,0.43,13.2,6.49,0.37
"1227",5.1,0.31,0.3,0.9,0.037,28,152,0.992,3.54,0.56,10.1,6.12,0.3
"1228",6.2,0.2,0.26,1.7,0.093,40,161,0.9924,3.44,0.66,11,5.35,0.26
"1229",6.9,0.16,0.35,1.3,0.043,21,182,0.9927,3.25,0.62,10.8,6.95,0.35
"1230",7.7,0.32,0.48,2.3,0.04,28,114,0.9911,3.2,0.52,12.8,7.2,0.48
"1231",6.5,0.22,0.72,6.8,0.042,33,168,0.9958,3.12,0.36,9.2,6.01,0.72
"1232",6.8,0.26,0.33,1.5,0.047,44,167,0.9928,3.12,0.44,10.5,6.88,0.33
"1233",5.2,0.37,0.33,1.2,0.028,13,81,0.9902,3.37,0.38,11.7,6.3,0.33
"1234",6.8,0.15,0.32,8.8,0.058,24,110,0.9972,3.4,0.4,8.8,6.52,0.32
"1235",7.9,0.16,0.64,17,0.05,69,210,1.0004,3.15,0.51,9.3,7.9,0.64
"1236",7.8,0.21,0.39,1.8,0.034,62,180,0.991,3.09,0.75,12.6,8.82,0.39
"1237",9,0.24,0.5,1.2,0.048,26,107,0.9918,3.21,0.34,12.4,6.63,0.5
"1238",5.7,0.21,0.24,2.3,0.047,60,189,0.995,3.65,0.72,10.1,6.76,0.24
"1239",7.8,0.29,0.36,7,0.042,38,161,0.9941,3.26,0.37,11.2,8.41,0.36
"1240",6.7,0.18,0.3,6.4,0.048,40,251,0.9956,3.29,0.52,10,5.71,0.3
"1241",6.7,0.18,0.3,6.4,0.048,40,251,0.9956,3.29,0.52,10,5.32,0.3
"1242",7.2,0.16,0.32,0.8,0.04,50,121,0.9922,3.27,0.33,10,6.4,0.32
"1243",7.6,0.54,0.23,2,0.029,13,151,0.9931,3.04,0.33,10.4,5.81,0.23
"1244",6.6,0.25,0.31,12.4,0.059,52,181,0.9984,3.51,0.47,9.8,6.36,0.31
"1245",7.3,0.23,0.37,1.9,0.041,51,165,0.9908,3.26,0.4,12.2,8.01,0.37
"1246",7.3,0.39,0.37,1.1,0.043,36,113,0.991,3.39,0.48,12.7,8.15,0.37
"1247",7,0.46,0.39,6.2,0.039,46,163,0.9928,3.21,0.35,12.2,7.66,0.39
"1248",8.2,0.35,0.4,6.3,0.039,35,162,0.9936,3.15,0.34,11.9,7.46,0.4
"1249",7.8,0.29,0.36,7,0.042,38,161,0.9941,3.26,0.37,11.2,8.45,0.36
"1250",8,0.57,0.39,3.9,0.034,22,122,0.9917,3.29,0.67,12.8,7.32,0.39
"1251",6.5,0.37,0.33,3.9,0.027,40,130,0.9906,3.28,0.39,12.7,7.16,0.33
"1252",5.7,0.21,0.24,2.3,0.047,60,189,0.995,3.65,0.72,10.1,6.53,0.24
"1253",6.7,0.18,0.3,6.4,0.048,40,251,0.9956,3.29,0.52,10,5.44,0.3
"1254",7.8,0.13,0.3,1.8,0.04,43,179,0.9955,3.43,0.41,9,5.37,0.3
"1255",7.3,0.22,0.41,15.4,0.05,55,191,1,3.32,0.59,8.9,6.29,0.41
"1256",6.3,0.29,0.4,6.5,0.039,43,167,0.9953,3.15,0.44,9.3,6.51,0.4
"1257",6.8,0.35,0.32,2.4,0.048,35,103,0.9911,3.28,0.46,12,8.34,0.32
"1258",6.5,0.19,0.32,1.4,0.04,31,132,0.9922,3.36,0.54,10.8,7.36,0.32
"1259",6.2,0.12,0.26,5.7,0.044,56,158,0.9951,3.52,0.37,10.5,6.02,0.26
"1260",6,0.13,0.28,5.7,0.038,56,189.5,0.9948,3.59,0.43,10.6,7.97,0.28
"1261",6.4,0.25,0.33,1.4,0.04,42,115,0.9906,3.19,0.48,11.3,7.03,0.33
"1262",6.9,0.32,0.16,1.4,0.051,15,96,0.994,3.22,0.38,9.5,4.57,0.16
"1263",6.7,0.13,0.28,1.2,0.046,35,140,0.9927,3.33,0.33,10.1,7.31,0.28
"1264",7,0.14,0.41,0.9,0.037,22,95,0.9914,3.25,0.43,10.9,6.93,0.41
"1265",7.6,0.27,0.24,3.8,0.058,19,115,0.9958,3.15,0.45,8.9,5.89,0.24
"1266",7.3,0.22,0.41,15.4,0.05,55,191,1,3.32,0.59,8.9,6.53,0.41
"1267",7.6,0.28,0.39,1.9,0.052,23,116,0.9941,3.25,0.4,10.4,6.06,0.39
"1268",8.3,0.26,0.41,9.2,0.042,41,162,0.9944,3.1,0.38,12,7.39,0.41
"1269",6.9,0.23,0.34,2.7,0.032,24,121,0.9902,3.14,0.38,12.4,7.82,0.34
"1270",6.2,0.3,0.32,1.7,0.032,30,130,0.9911,3.28,0.41,11.2,7.86,0.32
"1271",6.9,0.27,0.41,1.7,0.047,6,134,0.9929,3.15,0.69,11.4,6.35,0.41
"1272",6.9,0.28,0.41,1.7,0.05,10,136,0.993,3.16,0.71,11.4,6.32,0.41
"1273",6.9,0.28,0.3,1.6,0.047,46,132,0.9918,3.35,0.38,11.1,7.35,0.3
"1274",6.9,0.46,0.2,0.9,0.054,5,126,0.992,3.1,0.42,10.4,6.97,0.2
"1275",6.9,0.38,0.32,8.5,0.044,36,152,0.9932,3.38,0.35,12,7.88,0.32
"1276",5.7,0.43,0.3,5.7,0.039,24,98,0.992,3.54,0.61,12.3,7.49,0.3
"1277",6.6,0.56,0.16,3.1,0.045,28,92,0.994,3.12,0.35,9.1,6.49,0.16
"1278",7.1,0.36,0.56,1.3,0.046,25,102,0.9923,3.24,0.33,10.5,6.96,0.56
"1279",6.8,0.23,0.4,1.6,0.047,5,133,0.993,3.23,0.7,11.4,6.03,0.4
"1280",6.2,0.33,0.29,1.3,0.042,26,138,0.9956,3.77,0.64,9.5,5.24,0.29
"1281",5.6,0.49,0.13,4.5,0.039,17,116,0.9907,3.42,0.9,13.7,7.28,0.13
"1282",6.6,0.42,0.33,2.8,0.034,15,85,0.99,3.28,0.51,13.4,6.02,0.33
"1283",7.3,0.18,0.29,1.2,0.044,12,143,0.9918,3.2,0.48,11.3,7.42,0.29
"1284",8.1,0.19,0.4,0.9,0.037,73,180,0.9926,3.06,0.34,10,6.24,0.4
"1285",5.9,0.19,0.26,7.4,0.034,33,123,0.995,3.49,0.42,10.1,6.15,0.26
"1286",6.2,0.16,0.47,1.4,0.029,23,81,0.99,3.26,0.42,12.2,6.94,0.47
"1287",6.6,0.42,0.33,2.8,0.034,15,85,0.99,3.28,0.51,13.4,6.27,0.33
"1288",5.7,0.135,0.3,4.6,0.042,19,101,0.9946,3.31,0.42,9.3,6.85,0.3
"1289",5.6,0.49,0.13,4.5,0.039,17,116,0.9907,3.42,0.9,13.7,7.53,0.13
"1290",6.9,0.19,0.33,1.6,0.039,27,98,0.9898,3.09,0.46,12.3,7.84,0.33
"1291",7.3,0.18,0.29,1.2,0.044,12,143,0.9918,3.2,0.48,11.3,7.48,0.29
"1292",7.3,0.25,0.36,13.1,0.05,35,200,0.9986,3.04,0.46,8.9,7.02,0.36
"1293",7.3,0.25,0.36,13.1,0.05,35,200,0.9986,3.04,0.46,8.9,7.34,0.36
"1294",7,0.2,0.34,5.7,0.035,32,83,0.9928,3.19,0.46,11.5,6.53,0.34
"1295",7.3,0.25,0.36,13.1,0.05,35,200,0.9986,3.04,0.46,8.9,7.95,0.36
"1296",6.3,0.67,0.48,12.6,0.052,57,222,0.9979,3.17,0.52,9.3,6.82,0.48
"1297",7.4,0.4,0.29,5.4,0.044,31,122,0.994,3.3,0.5,11.1,8.85,0.29
"1298",7.1,0.26,0.31,2.2,0.044,29,128,0.9937,3.34,0.64,10.9,8.31,0.31
"1299",6.3,0.39,0.24,6.9,0.069,9,117,0.9942,3.15,0.35,10.2,4.61,0.24
"1300",8.2,0.22,0.36,6.8,0.034,12,90,0.9944,3.01,0.38,10.5,8.21,0.36
"1301",7.3,0.25,0.36,13.1,0.05,35,200,0.9986,3.04,0.46,8.9,7.29,0.36
"1302",7.9,0.2,0.34,1.2,0.04,29,118,0.9932,3.14,0.41,10.6,6.13,0.34
"1303",7.1,0.26,0.32,5.9,0.037,39,97,0.9934,3.31,0.4,11.6,6.36,0.32
"1304",7,0.2,0.34,5.7,0.035,32,83,0.9928,3.19,0.46,11.5,6.16,0.34
"1305",6.9,0.3,0.33,4.1,0.035,26,155,0.9925,3.25,0.79,12.3,8.82,0.33
"1306",8.1,0.29,0.49,7.1,0.042,22,124,0.9944,3.14,0.41,10.8,6.62,0.49
"1307",5.8,0.17,0.3,1.4,0.037,55,130,0.9909,3.29,0.38,11.3,6.61,0.3
"1308",5.9,0.415,0.02,0.8,0.038,22,63,0.9932,3.36,0.36,9.3,5.97,0.02
"1309",6.6,0.23,0.26,1.3,0.045,16,128,0.9934,3.36,0.6,10,6.31,0.26
"1310",8.6,0.55,0.35,15.55,0.057,35.5,366.5,1.0001,3.04,0.63,11,3.18,0.35
"1311",6.9,0.35,0.74,1,0.044,18,132,0.992,3.13,0.55,10.2,5.29,0.74
"1312",7.6,0.14,0.74,1.6,0.04,27,103,0.9916,3.07,0.4,10.8,7.93,0.74
"1313",9.2,0.28,0.49,11.8,0.042,29,137,0.998,3.1,0.34,10.1,4.95,0.49
"1314",6.2,0.18,0.49,4.5,0.047,17,90,0.9919,3.27,0.37,11.6,6.67,0.49
"1315",5.3,0.165,0.24,1.1,0.051,25,105,0.9925,3.32,0.47,9.1,5.21,0.24
"1316",9.8,0.25,0.74,10,0.056,36,225,0.9977,3.06,0.43,10,4.31,0.74
"1317",8.1,0.29,0.49,7.1,0.042,22,124,0.9944,3.14,0.41,10.8,6.99,0.49
"1318",6.8,0.22,0.49,0.9,0.052,26,128,0.991,3.25,0.35,11.4,6.65,0.49
"1319",7.2,0.22,0.49,1,0.045,34,140,0.99,3.05,0.34,12.7,6.51,0.49
"1320",7.4,0.25,0.49,1.1,0.042,35,156,0.9917,3.13,0.55,11.3,5.05,0.49
"1321",8.2,0.18,0.49,1.1,0.033,28,81,0.9923,3,0.68,10.4,7.74,0.49
"1322",6.1,0.22,0.49,1.5,0.051,18,87,0.9928,3.3,0.46,9.6,5.02,0.49
"1323",7,0.39,0.24,1,0.048,8,119,0.9923,3,0.31,10.1,4.92,0.24
"1324",6.1,0.22,0.49,1.5,0.051,18,87,0.9928,3.3,0.46,9.6,5.82,0.49
"1325",6.5,0.36,0.49,2.9,0.03,16,94,0.9902,3.1,0.49,12.1,7.66,0.49
"1326",7.1,0.29,0.49,1.2,0.031,32,99,0.9893,3.07,0.33,12.2,6.69,0.49
"1327",7.4,0.25,0.49,1.1,0.042,35,156,0.9917,3.13,0.55,11.3,5.66,0.49
"1328",6.9,0.23,0.24,14.2,0.053,19,94,0.9982,3.17,0.5,9.6,5.46,0.24
"1329",8.2,0.18,0.49,1.1,0.033,28,81,0.9923,3,0.68,10.4,7.26,0.49
"1330",6.3,0.23,0.49,7.1,0.05,67,210,0.9951,3.23,0.34,9.5,5.55,0.49
"1331",6.1,0.25,0.49,7.6,0.052,67,226,0.9956,3.16,0.47,8.9,5.28,0.49
"1332",7.2,0.26,0.74,13.6,0.05,56,162,0.998,3.03,0.44,8.8,5.1,0.74
"1333",7.2,0.31,0.24,1.4,0.057,17,117,0.9928,3.16,0.35,10.5,5.06,0.24
"1334",8,0.25,0.49,1.2,0.061,27,117,0.9938,3.08,0.34,9.4,5.43,0.49
"1335",7,0.18,0.49,5.3,0.04,34,125,0.9914,3.24,0.4,12.2,6.08,0.49
"1336",7.8,0.43,0.49,13,0.033,37,158,0.9955,3.14,0.35,11.3,6.55,0.49
"1337",8.3,0.2,0.74,4.45,0.044,33,130,0.9924,3.25,0.42,12.2,6.98,0.74
"1338",6.3,0.27,0.49,1.2,0.063,35,92,0.9911,3.38,0.42,12.2,6.92,0.49
"1339",7.4,0.16,0.49,1.2,0.055,18,150,0.9917,3.23,0.47,11.2,6.59,0.49
"1340",7.4,0.16,0.49,1.2,0.055,18,150,0.9917,3.23,0.47,11.2,6.86,0.49
"1341",6.9,0.19,0.49,6.6,0.036,49,172,0.9932,3.2,0.27,11.5,6.71,0.49
"1342",7.8,0.43,0.49,13,0.033,37,158,0.9955,3.14,0.35,11.3,6.53,0.49
"1343",7.2,0.4,0.49,1.1,0.048,11,138,0.9929,3.01,0.42,9.3,5.76,0.49
"1344",7.8,0.43,0.49,13,0.033,37,158,0.9955,3.14,0.35,11.3,6.29,0.49
"1345",7.6,0.52,0.49,14,0.034,37,156,0.9958,3.14,0.38,11.8,7.18,0.49
"1346",6.9,0.34,0.74,11.2,0.069,44,150,0.9968,3,0.81,9.2,5.34,0.74
"1347",6.3,0.27,0.49,1.2,0.063,35,92,0.9911,3.38,0.42,12.2,6.47,0.49
"1348",8.3,0.2,0.74,4.45,0.044,33,130,0.9924,3.25,0.42,12.2,6.29,0.74
"1349",7.1,0.22,0.74,2.7,0.044,42,144,0.991,3.31,0.41,12.2,6.85,0.74
"1350",7.9,0.11,0.49,4.5,0.048,27,133,0.9946,3.24,0.42,10.6,6.3,0.49
"1351",8.5,0.17,0.74,3.6,0.05,29,128,0.9928,3.28,0.4,12.4,6.44,0.74
"1352",6.4,0.145,0.49,5.4,0.048,54,164,0.9946,3.56,0.44,10.8,6.04,0.49
"1353",7.4,0.16,0.49,1.2,0.055,18,150,0.9917,3.23,0.47,11.2,6.32,0.49
